[Header],,,,,,,,,,,,,,
Application Name,LabSolutions,,,,,,,,,,,,,
Version,5.54 SP5,,,,,,,,,,,,,
Data File Name,C:\LabSolutions\Data\Project1\DATACAL14346.lcd,,,,,,,,,,,,,
Output Date,10/8/2015,,,,,,,,,,,,,
Output Time,12:10:08 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
[File Information],,,,,,,,,,,,,,
Type,Data File,,,,,,,,,,,,,
Generated,10/7/2015 23:44,,,,,,,,,,,,,
Generated by,System Administrator,,,,,,,,,,,,,
Modified,10/8/2015 0:10,,,,,,,,,,,,,
Modified by,System Administrator,,,,,,,,,,,,,
,,,,,,,,,,,,,,
[Sample Information],,,,,,,,,,,,,,
Operator Name,System Administrator,,,,,,,,,,,,,
Acquired,10/7/2015 23:45,,,,,,,,,,,,,
Sample Type,0:Unknown,,,,,,,,,,,,,
Level,0,,,,,,,,,,,,,
Sample Name,F4-6935-50-SS,,,,,,,,,,,,,
Sample ID,,,,,,,,,,,,,,
ISTD Amount1,1,,,,,,,,,,,,,
ISTD Amount2,1,,,,,,,,,,,,,
ISTD Amount3,1,,,,,,,,,,,,,
ISTD Amount4,1,,,,,,,,,,,,,
ISTD Amount5,1,,,,,,,,,,,,,
ISTD Amount6,1,,,,,,,,,,,,,
ISTD Amount7,1,,,,,,,,,,,,,
ISTD Amount8,1,,,,,,,,,,,,,
ISTD Amount9,1,,,,,,,,,,,,,
ISTD Amount10,1,,,,,,,,,,,,,
ISTD Amount11,1,,,,,,,,,,,,,
ISTD Amount12,1,,,,,,,,,,,,,
ISTD Amount13,1,,,,,,,,,,,,,
ISTD Amount14,1,,,,,,,,,,,,,
ISTD Amount15,1,,,,,,,,,,,,,
ISTD Amount16,1,,,,,,,,,,,,,
ISTD Amount17,1,,,,,,,,,,,,,
ISTD Amount18,1,,,,,,,,,,,,,
ISTD Amount19,1,,,,,,,,,,,,,
ISTD Amount20,1,,,,,,,,,,,,,
ISTD Amount21,1,,,,,,,,,,,,,
ISTD Amount22,1,,,,,,,,,,,,,
ISTD Amount23,1,,,,,,,,,,,,,
ISTD Amount24,1,,,,,,,,,,,,,
ISTD Amount25,1,,,,,,,,,,,,,
ISTD Amount26,1,,,,,,,,,,,,,
ISTD Amount27,1,,,,,,,,,,,,,
ISTD Amount28,1,,,,,,,,,,,,,
ISTD Amount29,1,,,,,,,,,,,,,
ISTD Amount30,1,,,,,,,,,,,,,
ISTD Amount31,1,,,,,,,,,,,,,
ISTD Amount32,1,,,,,,,,,,,,,
Sample Amount,1,,,,,,,,,,,,,
Dilution Factor,1,,,,,,,,,,,,,
Vial#,19,,,,,,,,,,,,,
Injection Volume,10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
[Original Files],,,,,,,,,,,,,,
Data File,C:\LabSolutions\Data\Project1\DATACAL14346.lcd,,,,,,,,,,,,,
Method File,C:\LabSolutions\Data\Project1\BION 5 POINT 2015-03-05.lcm,,,,,,,,,,,,,
Batch File,C:\LabSolutions\Data\Project1\wpe batch.lcb,,,,,,,,,,,,,
Report Format File,C:\LabSolutions\Data\Project1\Western Plains Energy 9-24-13.lsr,,,,,,,,,,,,,
,,,,,,,,,,,,,,
[File Description],,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
[Configuration],,,,,,,,,,,,,,
Instrument Name,WPEWS135-Instrument1,,,,,,,,,,,,,
Instrument #,1,,,,,,,,,,,,,
Line #,1,,,,,,,,,,,,,
# of Detectors,1,,,,,,,,,,,,,
Detector ID,Detector A,,,,,,,,,,,,,
Detector Name,Detector A,,,,,,,,,,,,,
# of Channels,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
[Compound Results(Detector A)],,,,,,,,,,,,,,
# of IDs,8,,,,,,,,,,,,,
ID#,Name,R.Time,Area,Height,Conc.,Curve,3rd,2nd,1st,Constant,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,DP4,5.834,1077292,61415,0.707,Linear,0.00E+00,0.00E+00,1.52E+06,0.00E+00,0,0,4.314,4.314
2,DP3,6.415,160747,10971,0.105,Linear,0.00E+00,0.00E+00,1.52E+06,0.00E+00,0,0,0.643,0.643
3,DP2 MALTOSE,7.165,626756,30703,0.429,Linear,0.00E+00,0.00E+00,1.46E+06,0.00E+00,0,0,2.617,2.617
4,DP1 GLUCOSE,8.698,151429,10635,0.105,Linear,0.00E+00,0.00E+00,1.44E+06,0.00E+00,0,0,0.639,0.639
5,LACTIC ACID,11.837,165502,10545,0.183,Linear,0.00E+00,0.00E+00,9.02E+05,0.00E+00,0,0,1.119,1.119
6,GLYCEROL,12.81,1460634,90416,1.141,Linear,0.00E+00,0.00E+00,1.28E+06,0.00E+00,0,0,6.958,6.958
7,ACETIC ACID,14.252,15424,734,0.024,Linear,0.00E+00,0.00E+00,6.38E+05,0.00E+00,0,0,0.147,0.147
8,ETHANOL,20.594,8499306,300678,13.698,Linear,0.00E+00,0.00E+00,6.20E+05,0.00E+00,0,0,83.562,83.562
